app_id,title,release_date,genres,categories,developer,publisher,original_price,discount_percentage,discounted_price,dlc_available,age_rating,win_support,mac_support,linux_support,awards,overall_review_%,overall_review_count
1065580,Castle Woodwarf 2,"4 Oct, 2019","Indie, Strategy","Single-player, Family Sharing",Domo Games,Sedoc LLC,₹345.00,-89%,₹37.00,0,0,TRUE,FALSE,FALSE,0,71,59
572010,No Way Out,"4 Oct, 2018","Action, Adventure, Indie","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",Rafael Farias,Fiassink Games,₹400.00,-90%,₹40.00,0,0,TRUE,FALSE,FALSE,0,43,100
718140,Domino Dungeon,"4 Oct, 2017","Action, Casual, Indie, Simulation","Single-player, Family Sharing",Russpuppy,Russpuppy,₹105.00,-71%,₹30.00,0,0,TRUE,FALSE,FALSE,0,,
2088670,Puzzline,"4 Nov, 2022","Casual, Indie, Strategy","Single-player, Online PvP, Steam Achievements, Family Sharing",Aineko Games,Aineko Games,₹200.00,-20%,₹160.00,0,0,TRUE,TRUE,FALSE,0,100,73
2088340,Bratz™: Flaunt your fashion,"4 Nov, 2022","Adventure, Casual","Single-player, Steam Achievements, Family Sharing",Petoons Studio,Outright Games Ltd.,"₹1,300.00",-30%,₹910.00,2,0,TRUE,FALSE,FALSE,0,75,306
1965610,Froggie,"4 Nov, 2022","Action, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",Vergiu,Vergiu,₹52.00,-31%,₹36.00,0,0,TRUE,FALSE,FALSE,0,96,99
2173880,I commissioned some bees 9,"4 Nov, 2022","Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",Follow the fun,I commissioned some series,₹105.00,-50%,₹52.00,0,0,TRUE,FALSE,FALSE,0,100,21
2166120,Digit Factory,"4 Nov, 2022","Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",Light Game,Light Game,₹300.00,-50%,₹150.00,0,0,TRUE,FALSE,FALSE,0,70,20
2184110,SURVIVAL IN THE BACKROOMS,"4 Nov, 2022","Action, Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",Performance Artist Games,Performance Artist Games,₹105.00,-70%,₹31.00,0,0,TRUE,FALSE,FALSE,0,66,15
1794740,Fears of Glasses  o-o,"4 Nov, 2021","Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing, Profile Features Limited",Hede,Hede,"₹23,700.00",-99%,₹117.00,0,0,TRUE,TRUE,TRUE,0,75,16
1779190,Soulsland,"4 Nov, 2021","Action, Adventure, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",Tero Lunkka,Tero Lunkka,₹300.00,-88%,₹36.00,0,0,TRUE,FALSE,FALSE,0,64,28
1427480,Miner Ultra Rag Smash,"4 Nov, 2020","Action, Casual, Indie, Sports","Shared/Split Screen PvP, Steam Achievements, Remote Play on TV, Remote Play Together, Family Sharing, Profile Features Limited",Sinned Games,Sinned Games,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,73,23
